type,name,latitude_deg,longitude_deg,iso_country,scheduled_service,iata_code
small_airport,Zaysan Airport,47.487491,84.887675,KZ,yes,SZI
medium_airport,Skukuza Airport,-24.96085,31.588587,ZA,yes,SZK
large_airport,Shenzhen Bao'an International Airport,22.639474,113.803262,CN,yes,SZX
medium_airport,Olsztyn-Mazury Airport,53.481899,20.9377,PL,yes,SZY
large_airport,Solidarity Szczecin–Goleniów Airport,53.584702,14.9022,PL,yes,SZZ
large_airport,A.N.R. Robinson International Airport,11.149571,-60.831298,TT,yes,TAB
medium_airport,Daniel Z. Romualdez Airport,11.227761,125.027783,PH,yes,TAC
large_airport,Daegu International Airport,35.894394,128.656989,KR,yes,TAE
medium_airport,Bohol-Panglao International Airport,9.573045,123.770143,PH,yes,TAG
medium_airport,Whitegrass Airport,-19.455099,169.223999,VU,yes,TAH
medium_airport,Taiz International Airport,13.686,44.139099,YE,yes,TAI
large_airport,Takamatsu Airport,34.214963,134.015454,JP,yes,TAK
small_airport,Ralph M Calhoun Memorial Airport,65.1744,-152.108994,US,yes,TAL
medium_airport,General Francisco Javier Mina International Airport,22.292622,-97.867058,MX,yes,TAM
large_airport,Qingdao Jiaodong International Airport,36.361953,120.088171,CN,yes,TAO
medium_airport,Tapachula International Airport,14.794549,-92.369871,MX,yes,TAP
large_airport,Tashkent International Airport,41.2579,69.281197,UZ,yes,TAS
medium_airport,Poprad-Tatry Airport,49.070994,20.241394,SK,yes,TAT
medium_airport,Tartu Airport,58.307438,26.686473,EE,yes,TAY
large_airport,Dashoguz International Airport,41.759853,59.836149,TM,yes,TAZ
medium_airport,Dong Tac Airport,13.0496,109.334,VN,yes,TBB
small_airport,Tabubil Airport,-5.280471,141.227576,PG,yes,TBG
medium_airport,Tugdan Airport,12.3109998703,122.084999084,PH,yes,TBH
medium_airport,New Bight Airport,24.3153,-75.452301,BS,yes,TBI
medium_airport,Tabarka-Aïn Draham International Airport,36.98,8.87694,TN,yes,TBJ
small_airport,Tumbang Samba Airport,-1.469024,113.080984,ID,yes,TBM
medium_airport,Waynesville-St. Robert Regional Airport-Forney Field,37.7416,-92.140701,US,yes,TBN
small_airport,Tabora Airport,-5.07639,32.833302,TZ,yes,TBO
medium_airport,Captain Pedro Canga Rodríguez International Airport,-3.552074,-80.381086,PE,yes,TBP
large_airport,Tbilisi International Airport,41.669201,44.9547,GE,yes,TBS
medium_airport,Tabatinga International Airport,-4.25567,-69.935799,BR,yes,TBT
large_airport,Fua'amotu International Airport,-21.241438,-175.149164,TO,yes,TBU
large_airport,Tabriz International Airport,38.1339,46.235001,IR,yes,TBZ
medium_airport,Tennant Creek Airport,-19.6343994140625,134.18299865722656,AU,yes,TCA
medium_airport,Treasure Cay Airport,26.745300293,-77.3912963867,BS,yes,TCB
small_airport,Tarapacá Airport,-2.895802,-69.749762,CO,yes,TCD
small_airport,Tacheng Qianquan Airport,46.672501,83.340797,CN,yes,TCG
medium_airport,La Florida Airport,1.81442,-78.7492,CO,yes,TCO
medium_airport,Taba International Airport,29.594496,34.775752,EG,yes,TCP
medium_airport,Coronel FAP Carlos Ciriani Santa Rosa International Airport,-18.053300857500002,-70.2758026123,PE,yes,TCQ
small_airport,Tuticorin Airport,8.724241,78.025803,IN,yes,TCR
small_airport,Takotna Airport,62.993206,-156.029026,US,yes,TCT
medium_airport,Tengchong Tuofeng Airport,24.938056,98.485833,CN,yes,TCZ
medium_airport,Teniente Av. Jorge Henrich Arauz Airport,-14.8187,-64.917999,BO,yes,TDD
medium_airport,Taldykorgan Airport,45.12255,78.442758,KZ,yes,TDK
small_airport,Sasereme Airport,-7.6217,142.868,PG,yes,TDS
medium_airport,Trat Airport,12.2746,102.319,TH,yes,TDX
medium_airport,Teterboro Airport,40.850101,-74.060799,US,yes,TEB
medium_airport,Cheikh Larbi Tébessi Airport,35.4315986633,8.12071990967,DZ,yes,TEE
small_airport,Tatitlek Airport,60.871449,-146.690297,US,yes,TEK
medium_airport,Tongren Fenghuang Airport,27.883333,109.308889,CN,yes,TEN
medium_airport,Tekirdağ Çorlu Airport,41.138199,27.9191,TR,yes,TEQ
medium_airport,Lajes Airport,38.761799,-27.090799,PT,yes,TER
